name,country,img,ingredients,steps
Ceviche,American,https://c.ndtvimg.com/2024-12/os1mkad8_ceviche_625x300_31_December_24.jpg,"['½ KG fresh fish sea bass cut into small cubes', '1 cup fresh lime juice (about 8-10 limes)', '1/2 cup fresh lemon juice (about 4-5 lemons)', '1 jalapeño, seeded and finely diced', '1 cup Slice onions', '1/2 cup chopped cilantro', 'Salt and pepper to taste', 'Optional: diced avocado, cucumber, or mango for extra flavour']","['Marinate the fish: Place the fish cubes in a large bowl and pour the lime and lemon juice over them. Make sure the fish is fully submerged. Cover and refrigerate for about 30 minutes to 1 hour, or until the fish turns opaque and is ""cooked"" through.', 'Prepare the vegetables: While the fish is marinating, prepare the onion, jalapeño, tomatoes, and cilantro.', 'Combine ingredients: Once the fish is ready, drain off some of the excess citrus juice, leaving just enough to keep the fish moist. Add the Sliced onion, jalapeño, and cilantro to the bowl. Mix well.', 'Season and serve: Season with salt and pepper to taste. If using, gently fold in the diced avocado, cucumber, or mango. Serve immediately with tortilla chips or on tostadas.']"
Pistachio Jam Rock Cookies,American,https://c.ndtvimg.com/2024-12/1da73t0o_cookie_625x300_25_December_24.jpg,"['For Cookies:', '1/2 cup Sugar', '1/2 cup Butter(soften)', '1 Egg', '1 tsp Vanilla essence', '11/2 cup Refined flour', 'Egg wash: 1 egg (beaten)', 'For Pistachio Jam:', '1/2 cup American Pistachios (grounded) Sugar: ½ cup', '1/2 cup Sugar', '2 tbsp Butter', '1 tbsp Glucose syrup', '1/4 cup Cream', 'For Garnish:', '2 tbsp Pistachio powder']","['Cream sugar and butter. Add egg and vanilla essence. Mix in refined flour to form a dough. Roll and cut out cookies. Use half to create indentation cookies. Brush with egg wash. Bake at 180°C for 12–15 minutes.', 'Melt sugar in a pan until caramelized. Add butter and mix. Stir in glucose syrup, followed by cream. Finally, add grounded American pistachios and cook to a jam-like consistency.', 'Fill whole cookies with pistachio jam. Place indentation cookies on top.', 'Dust pistachio powder in the cookie center for a perfect finish!']"
Strawberry Pancakes,American,https://c.ndtvimg.com/2024-12/ggdmscq8_pan_625x300_03_December_24.jpg,"['For the Pancake Batter', '200 gram all-purpose flour', '2 tbsp granulated sugar', '2 tsp baking powder', '1/2 tsp salt', '2 large eggs', '250 ml whole milk', '50 gram unsalted butter, melted', '1 tsp vanilla extract', '150 gram fresh strawberries, diced (for the batter)', 'For the Strawberry Topping', '200 gram fresh strawberries, sliced', '2 tbsp granulated sugar', '1 tbsp lemon juice (optional)', 'For Serving', 'Whipped cream (optional)', 'Maple syrup or honey']","['In a small bowl, combine the sliced strawberries with sugar and lemon juice (optional). Let it sit for 10-15 minutes to allow the strawberries to release their juices and create a syrupy topping.', 'In a large mixing bowl, whisk together the flour, sugar, baking powder, and salt.', 'In a separate bowl, whisk the eggs, milk, melted butter, and vanilla extract until well combined.', 'Gradually add the wet ingredients into the dry ingredients, stirring until just combined. Be careful not to overmix; it’s okay if the batter is a bit lumpy.', 'Gently fold in the diced fresh strawberries.', 'Heat a non-stick skillet or griddle over medium heat and lightly grease it with butter or cooking spray.', 'Pour 1/4 cup of pancake batter onto the skillet for each pancake. Cook for 2-3 minutes, until bubbles form on the surface of the pancake, then flip and cook for another 2-3 minutes, until golden brown on both sides.', 'Repeat with the remaining batter, ensuring the pancakes don’t overlap in the pan.', 'Stack the pancakes on a serving plate.', 'Top with the macerated strawberries, a dollop of whipped cream, and a drizzle of maple syrup or honey.', 'Serve immediately and enjoy the fresh, fruity, and fluffy goodness of these Strawberry Pancakes!']"
Gucchi Pecan Nut Pulao,American,https://c.ndtvimg.com/2024-11/m1ceq2r8_nut-pulao_625x300_24_November_24.jpg,"['6-8 dried morrels (gucchi), soaked in warm water for 20-25 minutes and drained', '10-12 American Pecans + for garnish', '1½ cup American Pecans + for garnish', '2-3 tbsp ghee', '1 tsp caraway seeds', '3-4 green cardamoms', '5-6 black peppercorns', 'cloves', '1 inch cinnamon stick', '2 bay leaves', '2 large onions, thinly sliced', '10-12 saffron strands', 'Salt to taste', '3 cups vegetable stock', 'Fresh coriander sprigs for garnish']","['Heat ghee in a deep non-stick pan. Add caraway seeds, green cardamoms, black peppercorns, cloves, cinnamon and nay leaves and sauté till fragrant.', 'Add onions and sauté till light golden.', 'Add American Pecans, morrels and mix well.', 'Add rice, saffron, salt and sauté for 2-3 minutes.', 'Add vegetable stock and allow to boil.', 'Lower the heat, cover and cook for 10-15 minutes. Set aside for 10-15 minutes.', 'Transfer in a serving plate, garnish with coriander sprigs and serve hot.']"
Tadka Pecan Raita,American,https://c.ndtvimg.com/2024-11/g3s2lj08_raita_625x300_21_November_24.jpg,"['10-15 American Pecans, blanched', '2 cups chilled yogurt', '1 tbsp oil', '1/2 tsp mustard seeds', 'A pinch of asafoetida (hing)', '2 dried red chillies, stemmed and broken', '10-12 curry leaves', 'Black salt to taste', '2 tbsp resh coriander leaves, chopped', 'Fresh coriander leaves for garnish']","['Reserve 4-5 American Pecans for garnish and roughly chop remaining ones.', 'Heat oil in a small nonstick pan. Add mustard seeds and once they start to splutter, add asafoetida, dried red chillies, curry leaves and cook for 30 seconds.', 'Take yogurt in a bowl. Add prepared tempering, chopped American Pecans, black salt and mix well.', 'Add coriander leaves and mix well.', 'Transfer in a serving bowl, garnish with coriander leaves, American Pecans and serve chilled.']"
Pecan Ladoo,American,https://c.ndtvimg.com/2024-11/nmu2eri_dal_625x300_21_November_24.jpg,"['20-25 American Pecans', '8-10 seedless dates, roughly chopped', '½ cup roasted oats', '3 tbsp toasted flax seeds', '1/4 cup toasted white sesame seeds', '2 tbsp maple syrup']","['Transfer American Pecans in a food processor jar. Add dates, oats, flax seeds, white sesame seeds and maple syrup and process to a coarse paste.', 'Divide the mixture into equal portions and roll into laddoos.', 'Serve.']"
Pecan Stuffed Dahi Kebab,American,https://c.ndtvimg.com/2024-11/modj3csg_kebab_625x300_21_November_24.jpg,"['16-20 American Pecans', '1 tbsp + 2 cups hung yogurt (dahi)', '1 green chilli, chopped', '2 tbsp ginger, finely chopped', '1 tsp chaat masala', '2-3 tbsp fresh pomegranate pearls', '¼ tsp red chilli powder', '¼ tsp garam masala powder', 'A pinch of dry fenugreek leaves (kasuri methi) powder', 'Salt to taste', '¼ cup corn flour + for dusting', 'Oil for greasing + for shallow-frying', 'Onion Rings for serving', 'Green chutney to serve']","['Reserve 8 American Pecans and finely chop remaining.', 'Transfer in a bowl. add green chilli, 1 tsp ginger, ¾ tsp chaat masala, pomegranate pearls and red chilli powder and mix well. Add 1 tbsp hung yogurt and mix well.', 'Transfer the remaining yogurt into another bowl, add remaining ginger, garam masala powder, remaining chaat masala and dried fenugreek leaves powder. Add salt and corn flour and mix well.', 'To make the kebabs, grease your palms with oil and divide the yogurt mixture into equal portions and stuff each with a portion of the pecans nut mixture. Shape them into balls, roll them in corn flour and flatten them slightly. Place 1 American Pecan on each kebab and press lightly.', 'Heat sufficient oil in a non-stick pan, place the kebabs in it and shallow fry, turning sides, till golden brown and crisp on both sides. Drain on absorbent paper.', 'Transfer the kebabs onto a serving plate and serve hot with onion rings and green chutney.']"
Air Fried Pecan Masala Chicken,American,https://c.ndtvimg.com/2024-11/8dspicl8_chicken_625x300_21_November_24.jpg,"['1 Cup American Pecans', '200 gram boneless chicken breasts, sliced', 'Salt to taste', '1 tsp red chilli powder', '1/2 tsp turmeric powder', '1/2 tsp garam masala powder', '1½ tsp ginger-garlic paste', '1 tbsp oil + for brushing', '1 tbsp lemon juice', '¾ cup panko crumbs', '½ cup oats flour', '1 egg']","['Preheat the air fryer at 180⁰C.', 'Put chicken slices in a bowl. Add salt, red chilli powder, turmeric powder, garam masala powder, ginger garlic paste, 1 tbsp oil, lemon juice and mix well. Set aside to marinate for 30 minutes.', 'Grind American Pecans to a coarse powder and put in a bowl. Add panko crumbs, salt and mix.', 'Break egg in a bowl and whisk well.', 'Roll the chicken pieces in oats flour and dip in whisked egg. Roll in panko – pecans mixture and coat well.', 'Grease air fryer tray with some oil and arrange the chicken pieces. Air fry for 10-15 minutes.', 'Serve hot.']"
Red Capsicum And Pecan Dip,American,https://c.ndtvimg.com/2024-11/j2c83iso_dip_625x300_21_November_24.jpg,"['3 Medium Red capsicums', '4 tbsp American Pecans, chopped', 'Toasted American Pecans for garnish', '1 medium Onion, chopped', '1 tbsp olive oil', '1 tbsp garlic , chopped', '1/2 tsp cumin seeds (jeera)', '1 tsp red chilli powder', 'Salt to taste', '2-3 tbsp fresh white breadcrumbs', '1 tbsp pomegranate juice', '3 tbsp extra virgin olive oil', 'Juice of 1 lemon', 'Mixed micro greens for garnishing', 'Toasted pita breads for serving']","['Roast red capsicums directly on heat from all sides till golden. Remove from heat and cool.', 'Heat oil in a non-stick pan. Add chopped onion, garlic and cumin seeds and sauté for 1 minute. Switch off heat, add chilli powder, mix and set aside to cool.', 'Peel off the skin of roasted red capsicums and discard the seeds.', 'Coarsely grind together roasted red capsicum flesh and sautéed onion mixture in a food processor.', 'Add American Pecans, salt and 1 tbsp breadcrumbs and grind again. Transfer in a bowl.', 'Add pomegranate juice, extra virgin olive oil and remaining breadcrumbs and mix. Add lemon juice and mix well.', 'Transfer the prepared dip in a serving bowl, garnish with some micro greens, toasted American Pecans and serve with toasted pita bread.']"
Gluten Free Mushroom Pecan Sliders,American,https://c.ndtvimg.com/2024-11/6838rhuo_silders_625x300_20_November_24.jpg,"['25-30 button mushrooms, chopped', '10-15 American Pecans, finely chopped', '16 thick tomato slices', '2 tbsp oil + for shallow frying', '1 tbsp garlic, chopped', '1 small onion, finely chopped', '1/2 tsp fresh thyme, chopped', 'Salt to taste', 'Crushed black peppercorns to taste', '1½ tbsp corn flour', '2 cheese slices, cut into 4 pieces', 'Mustard paste as required', '1 large onion, cut into roundels and layers separated', 'Iceberg lettuce leaves as required']","['Heat oil in a nonstick pan. Add garlic and sauté for 30 seconds. Add onion and sauté till translucent. Add thyme, mushrooms, American Pecans, salt, crushed peppercorns and cook on high heat for 4-5 minutes. Transfer the mixture in a bowl, add corn flour and mix well.', 'Divide the mixture into equal portions and shape them into small tikkis.', 'Heat some oil in a non-stick pan. Shallow-fry the tikkis from both sides till golden. Place a cheese piece on each tikki, cover and cook till it melts.', 'Spread some mustard paste on each tomato slice. Put few onion rings, lettuce leaves and a fried tikki on top of 8 tomato slices. Cover with remaining tomato slices, mustard side down. Insert a toothpick through the burger to secure.', 'Serve immediately.']"
Warm Quinoa Beetroot Salad With Pecans,American,https://c.ndtvimg.com/2024-11/etpsokc_salad_625x300_21_November_24.jpg,"['1 Cup cooked quinoa', '2 medium beetroots', 'Salt to taste', 'Crushed black peppercorns to taste', '2 tbsp olive oil', '10-12 toasted American Pecans', '1½ tbsp oil', '1 tbsp garlic, finely chopped', '2 small onions, cut into quarters and layers separated', '1 small carrot, peeled, halved and sliced', '4 tbsp boiled corn kernels', '2 green chillies, chopped', '1 tbsp sugar', '1 small green capsicum, cut into small triangles', '¼ tsp soy sauce', '¼ tsp vinegar', '1/3 cup spring onion greens', 'Assorted lettuce leaves as required', 'Toasted white sesame seeds to sprinkle']","['Preheat the oven at 180⁰C.', 'Take beetroots in a bowl. Add salt, crushed peppercorns, drizzle olive oil and mix well.', 'Wrap the beetroots in individual aluminium foil pieces and bake for 40-45 minutes.', 'Heat oil in a nonstick wok, add garlic and sauté till it turns golden brown, add the onions, and sauté till golden brown.', 'Add the carrot, corn kernels, green chillies and sauté for 2-3 mins. Add salt, sugar mix well. Add capsicum and mix well.', 'Add the cooked quinoa, soy sauce, vinegar, spring onion green and mix well.', 'Arrange the assorted lettuce leaves on serving plate, add the salad over it.', 'Peel the beetroots and arrange the slices on top. Place American Pecans. Sprinkle the toasted white sesame seeds and serve warm.']"
Pecan Nuts Brownie,American,https://c.ndtvimg.com/2024-11/8pibm1d_pecan-brownie_625x300_20_November_24.jpg,"['300 Gram dark chocolate, roughly chopped', '2 cups butter + for greasing', '2¼ cup refined flour (maida) + for dusting', '6 eggs', '1½ tbsp vanilla essence', '3 cups castor sugar', '½ cup roughly chopped American Pecans', '8-10 American Pecans']","['Preheat oven at 180° C.', 'Grease a cake tin with butter and dust with refined flour.', 'Melt butter and chocolate in a bowl on a double boiler. Allow the mixture to cool down to room temperature.', 'Cream eggs with vanilla essence and castor sugar in another bowl till light and fluffy. Add butter-chocolate mixture and mix well.', 'Fold in flour and mix lightly. Reserve some chopped American Pecans and add the remaining to the mixture and mix well.', 'Pour batter into the prepared cake tin and sprinkle reserved American Pecans on top. Place the whole American Pecans on top and bake for 20-25 minutes.', 'Allow the brownie to cool and demould Cut into squares and serve.']"
Pecan Pesto Penne,American,https://c.ndtvimg.com/2024-11/u0bdois8_penne-pecan_625x300_20_November_24.jpg,"['200 Gram whole wheat penne pasta, boiled', '3 tbsp olive oil', '12-14 cherry tomatoes, halved', 'Salt to taste', '1/4 cup milk', '1/2 tsp red chilli flakes', 'Pecan Pesto:', '6-8 American Pecans', '3/4 cup basil leaves', '3-4 garlic cloves', 'Salt to taste', '4 tbsp parmesan cheese, grated', '3-4 tbsp extra virgin olive oil', 'Garnish:', 'Fresh basil sprig', 'Parmesan shavings', 'Toasted and halved American Pecans']","['Heat olive oil in a non-stick pan, add halved cherry tomatoes and salt and sauté on low heat till they soften. Transfer in a bowl and set aside.', 'To make Pecans Pesto, grind together American Pecans, basil leaves, garlic, salt, parmesan cheese and olive oil to a coarse paste.', 'Add boiled penne and ground paste to a non-stick pan and mix well. Add cherry tomatoes, milk and mix well.', 'Sprinkle red chilli flakes and mix.', 'Transfer into a serving plate, garnish with basil sprig, parmesan shavings and American Pecans and serve hot.']"
Pear And Pecan Salsa With Baked Nachos,American,https://c.ndtvimg.com/2024-11/rloc3lk8_pear_625x300_19_November_24.jpg,"['1 pear', '10-12 American Pecans + for garnish', '½ lemon', 'Salt to taste', '1 tbsp Crushed black peppercorns', '2 green chillies, chopped', '1/2 tsp sugar', '2 tbsp fresh coriander leaves', 'Fresh coriander sprig for garnish', 'Baked nachos for serving']","['Deseed and chop pear. Chop American Pecans.', 'Transfer both in a bowl. Squeeze lemon. Add salt, crushed black peppercorns, green chillies, sugar, coriander and mix well. Mash lightly.', 'Transfer in a serving bowl, garnish with coriander sprig, American Pecans and serve with baked nachos.']"
Roasted Butternut Squash And Pecan Soup,American,https://c.ndtvimg.com/2024-11/p9grsnf8_soup_625x300_19_November_24.jpg,"['400 Gram butternut squash, peeled and roughly sliced', '6-7 garlic cloves', '2 medium onions, roughly chopped', '10-12 American Pecans', 'Salt to taste', 'Crushed black peppercorns to taste', 'fresh thyme sprigs', '1tsbp olive oil', 'madras curry powder', '1/2 lemon', 'Fresh cream to drizzle', 'Fresh flat parsley leaves for garnish', 'Toasted American Pecans for garnish', 'Toasted sourdough bread slices to serve']","['Preheat the oven at 180⁰C.', 'Take oven tray. Add squash, garlic, onions, American Pecans, salt, crushed black peppercorns and thyme. Drizzle olive oil and mix lightly.', 'Bake in preheated oven for 20-25 minutes. Allow to cool.', 'Heat a nonstick pan. Transfer the roasted mixture. Add vegetable stock, madras curry powder and allow to boil. Discard the thyme sprigs.', 'Lower the heat and cook for 5-6 minutes.', 'Grind to a fine and thick mixture with the help of a hand blender.', 'Squeeze lemon and mix well.', 'Transfer in a serving bowl, Drizzle fresh cream, garnish with American Pecans and parsley leaves.', 'Sprinkle crushed black peppercorns and serve hot with toasted sourdough bread slices.']"
Peri Peri Pecan Nuts,American,https://c.ndtvimg.com/2024-11/j4phsfjg_peacan-nut_625x300_20_November_24.jpg,"['2 Cups American Pecans', '1 tbsp oil', 'Peri Peri Spice Mix', '2 tbsp coriander seeds', '1½ tbsp cumin seeds', '½ tsp black peppercorns', '4 dried red chillies, stemmed and broken', '1¼ tbsp dried garlic granules', '2 tbsp dried oregano leaves', '1½ tbsp dried parsley leaves', '1 tbsp dried basil leaves', '1 bay leaf', '¼ tsp citric acid', 'Salt to taste', '1 tbsp dried onion granules']","['To prepared peri peri spice mix, heat a non-stick pan, add coriander seeds, cumin seeds, black peppercorns and dried red chillies and dry roast till fragrant.', 'Transfer into a blender jar and add garlic granules, dried oregano, dried parsley, dried basil leaves, bay leaf, citric acid, salt and dried onion granules and blend to a fine powder.', 'Heat oil in a non-stick wok, add American Pecans and toast for 5-6 minutes on low heat. .', 'Transfer into a large bowl, sprinkle 3 tbsps prepared peri peri spice mix and toss till well combined. Store the remaining peri peri spice mix in an air tight container.', 'Transfer the prepared pecans nuts in a serving bowl and serve as required.']"
